boundary_action,model,action_index_in_first10,joint,delta_rad,predicted_action_rad
10,baseline,1,3,0.02799665927886963,1.2172596454620361
10,baseline,1,4,-0.09842267632484436,-0.5386137366294861
10,baseline,1,5,0.11243343725800514,-0.040873896330595016
10,baseline,1,6,0.09803977608680725,0.06364557147026062
10,baseline,1,7,0.2642946243286133,-1.418140172958374
10,baseline,1,8,-0.2310478687286377,1.2695679664611816
10,baseline,1,9,-0.060421109199523926,1.123710036277771
10,baseline,1,10,-0.006468623876571655,0.28405824303627014
10,baseline,1,11,0.004023924469947815,-0.14052262902259827
10,baseline,2,0,-0.09192728996276855,-0.09138798713684082
10,baseline,2,1,0.45716989040374756,-1.2165032625198364
10,baseline,2,2,-0.3974801301956177,1.0796905755996704
10,baseline,2,3,0.029749035835266113,1.2160124778747559
10,baseline,2,4,-0.20261403918266296,-0.6325877904891968
10,baseline,2,5,0.13553675636649132,-0.01644282415509224
10,baseline,2,6,0.07098856568336487,0.041504740715026855
10,baseline,2,7,0.15522980690002441,-1.5291805267333984
10,baseline,2,8,-0.2430042028427124,1.265076994895935
10,baseline,2,9,0.017271757125854492,1.1986966133117676
10,baseline,2,10,0.05163434147834778,0.3474327027797699
10,baseline,2,11,0.0028678327798843384,-0.14331009984016418
10,baseline,3,0,-0.04199856519699097,-0.041636884212493896
10,baseline,3,1,0.684228777885437,-0.9935810565948486
10,baseline,3,2,-0.3979361057281494,1.0769798755645752
10,baseline,3,3,-0.04703092575073242,1.1380679607391357
10,baseline,3,4,-0.20516332983970642,-0.6381850838661194
10,baseline,3,5,0.5623941272497177,0.4070848822593689
10,baseline,3,6,0.10677304863929749,0.0824967622756958
10,baseline,3,7,0.11811280250549316,-1.552579641342163
10,baseline,3,8,-0.1604543924331665,1.3597298860549927
10,baseline,3,9,0.018401265144348145,1.1915626525878906
10,baseline,3,10,0.05412852764129639,0.3448317348957062
10,baseline,3,11,0.005758926272392273,-0.14464505016803741
10,baseline,4,0,-0.030973434448242188,-0.03163403272628784
10,baseline,4,1,0.7800332307815552,-0.9081670045852661
10,baseline,4,2,-0.46163225173950195,1.0143227577209473
10,baseline,4,3,-0.012094974517822266,1.169400930404663
10,baseline,4,4,-0.23063349723815918,-0.649127721786499
10,baseline,4,5,0.4897860437631607,0.3378339409828186
10,baseline,4,6,0.10036283731460571,0.08205601572990417
10,baseline,4,7,0.13638103008270264,-1.5360007286071777
10,baseline,4,8,-0.14779388904571533,1.3827377557754517
10,baseline,4,9,0.01708507537841797,1.1715232133865356
10,baseline,4,10,0.05707049369812012,0.3535640239715576
10,baseline,4,11,-0.00017496943473815918,-0.15028969943523407
10,baseline,5,0,0.05251754820346832,0.061275824904441833
10,baseline,5,1,0.7377403378486633,-0.9345065951347351
10,baseline,5,2,-0.46038341522216797,1.0148297548294067
10,baseline,5,3,-0.003967642784118652,1.1702929735183716
10,baseline,5,4,-0.16029945015907288,-0.5696565508842468
10,baseline,5,5,0.44785889983177185,0.29198622703552246
10,baseline,5,6,0.09084373712539673,0.061016350984573364
10,baseline,5,7,0.27413904666900635,-1.3973610401153564
10,baseline,5,8,-0.2801973819732666,1.2489385604858398
10,baseline,5,9,0.04981279373168945,1.20830237865448
10,baseline,5,10,0.07711288332939148,0.3734217584133148
10,baseline,5,11,0.008734077215194702,-0.14177143573760986
10,baseline,6,0,0.039603352546691895,0.0454910546541214
10,baseline,6,1,0.762202262878418,-0.9223082065582275
10,baseline,6,2,-0.3741114139556885,1.1140823364257812
10,baseline,6,3,-0.09046006202697754,1.0915353298187256
10,baseline,6,4,-0.1977938413619995,-0.6167652606964111
10,baseline,6,5,0.4643862396478653,0.3069835305213928
10,baseline,6,6,0.0837198793888092,0.0527348518371582
10,baseline,6,7,0.151322603225708,-1.5084646940231323
10,baseline,6,8,-0.21847867965698242,1.3090441226959229
10,baseline,6,9,0.06885373592376709,1.2236005067825317
10,baseline,6,10,0.09424185752868652,0.3821750581264496
10,baseline,6,11,0.010390862822532654,-0.13594022393226624
10,baseline,7,0,-0.027849704027175903,-0.026042252779006958
10,baseline,7,1,0.9233846664428711,-0.7555960416793823
10,baseline,7,2,-0.3907206058502197,1.0769295692443848
10,baseline,7,3,-0.14349353313446045,1.012779712677002
10,baseline,7,4,-0.34591177105903625,-0.7458384037017822
10,baseline,7,5,0.5574664026498795,0.39525991678237915
10,baseline,7,6,0.12229189276695251,0.10606497526168823
10,baseline,7,7,0.13100039958953857,-1.5116291046142578
10,baseline,7,8,-0.16329526901245117,1.3533804416656494
10,baseline,7,9,0.1681535243988037,1.1967395544052124
10,baseline,7,10,0.06422770023345947,0.3996106684207916
10,baseline,7,11,0.005228698253631592,-0.13828495144844055
10,baseline,8,0,0.07134872674942017,0.06958669424057007
10,baseline,8,1,1.0233989357948303,-0.651479184627533
10,baseline,8,2,-0.46050333976745605,1.0310766696929932
10,baseline,8,3,-0.17322057485580444,0.999973475933075
10,baseline,8,4,-0.3272647261619568,-0.7315622568130493
10,baseline,8,5,0.5546177923679352,0.3972569406032562
10,baseline,8,6,0.11875230073928833,0.09800189733505249
10,baseline,8,7,0.1689995527267456,-1.4790174961090088
10,baseline,8,8,-0.1653296947479248,1.357912540435791
10,baseline,8,9,0.04757034778594971,1.178122878074646
10,baseline,8,10,0.08662816882133484,0.39768412709236145
10,baseline,8,11,0.013015270233154297,-0.1368451863527298
10,baseline,9,0,0.11306934058666229,0.10542909801006317
10,baseline,9,1,0.9910785555839539,-0.678063690662384
10,baseline,9,2,-0.4691973924636841,1.0139704942703247
10,baseline,9,3,-0.16927707195281982,1.003554344177246
10,baseline,9,4,-0.27724841237068176,-0.6884243488311768
10,baseline,9,5,0.5189618021249771,0.3667527139186859
10,baseline,9,6,0.07064101099967957,0.08999615907669067
10,baseline,9,7,0.12383913993835449,-1.5176737308502197
10,baseline,9,8,-0.12205791473388672,1.380309820175171
10,baseline,9,9,0.05224716663360596,1.1776481866836548
10,baseline,9,10,0.042041242122650146,0.3923267126083374
10,baseline,9,11,0.01007021963596344,-0.14082831144332886
10,trained,0,0,-0.027021586894989014,-0.04298260807991028
10,trained,0,1,0.008364319801330566,-1.6673802137374878
10,trained,0,2,0.02050483226776123,1.4935818910598755
10,trained,0,3,0.012323260307312012,1.2048641443252563
10,trained,0,4,-0.0280207097530365,-0.4769241511821747
10,trained,0,5,-0.000263407826423645,-0.15038684010505676
10,trained,0,6,0.010376691818237305,-0.014201849699020386
10,trained,0,7,-0.0033441781997680664,-1.6936490535736084
10,trained,0,8,-0.009321212768554688,1.5004289150238037
10,trained,0,9,0.009248971939086914,1.19577157497406
10,trained,0,10,-0.0147915780544281,0.2758164703845978
10,trained,0,11,0.00815737247467041,-0.1391429603099823
10,trained,1,0,-0.05763384699821472,-0.06270018219947815
10,trained,1,1,0.024057626724243164,-1.6464293003082275
10,trained,1,2,0.013006806373596191,1.4896776676177979
10,trained,1,3,0.00614321231842041,1.195406198501587
10,trained,1,4,-0.011795759201049805,-0.45198681950569153
10,trained,1,5,0.003388717770576477,-0.14991861581802368
10,trained,1,6,0.020221441984176636,-0.014172762632369995
10,trained,1,7,-0.002333402633666992,-1.6847681999206543
10,trained,1,8,0.011828303337097168,1.5124441385269165
10,trained,1,9,-0.005910277366638184,1.1782208681106567
10,trained,1,10,0.005627304315567017,0.2961541712284088
10,trained,1,11,-0.005357831716537476,-0.14990438520908356
10,trained,2,0,-0.0481189489364624,-0.04757964611053467
10,trained,2,1,0.011875033378601074,-1.661798119544983
10,trained,2,2,-0.0013152360916137695,1.4758554697036743
10,trained,2,3,0.005690097808837891,1.1919535398483276
10,trained,2,4,-0.07573476433753967,-0.5057085156440735
10,trained,2,5,-0.002267807722091675,-0.15424738824367523
10,trained,2,6,0.008070498704910278,-0.021413326263427734
10,trained,2,7,-0.06436371803283691,-1.7487740516662598
10,trained,2,8,0.03066110610961914,1.5387423038482666
10,trained,2,9,0.02591395378112793,1.207338809967041
10,trained,2,10,0.016443461179733276,0.3122418224811554
10,trained,2,11,-9.116530418395996e-05,-0.14626909792423248
10,trained,3,0,-0.03923448920249939,-0.03887280821800232
10,trained,3,1,0.02765810489654541,-1.6501517295837402
10,trained,3,2,-0.002214193344116211,1.4727017879486084
10,trained,3,3,-0.0024971961975097656,1.1826016902923584
10,trained,3,4,-0.044628649950027466,-0.47765040397644043
10,trained,3,5,0.0036235302686691284,-0.1516857147216797
10,trained,3,6,0.016037553548812866,-0.008238732814788818
10,trained,3,7,-0.028658032417297363,-1.6993504762649536
10,trained,3,8,0.0005505084991455078,1.5207347869873047
10,trained,3,9,0.02368474006652832,1.1968461275100708
10,trained,3,10,0.01734742522239685,0.30805063247680664
10,trained,3,11,0.007515132427215576,-0.1428888440132141
10,trained,4,0,-0.04820042848587036,-0.048861026763916016
10,trained,4,1,0.013418912887573242,-1.674781322479248
10,trained,4,2,0.019810199737548828,1.495765209197998
10,trained,4,3,0.0133131742477417,1.194809079170227
10,trained,4,4,-0.043788254261016846,-0.4622824788093567
10,trained,4,5,-0.0019042640924453735,-0.15385636687278748
10,trained,4,6,0.029035091400146484,0.010728269815444946
10,trained,4,7,-0.0168687105178833,-1.6892504692077637
10,trained,4,8,0.001299738883972168,1.5318313837051392
10,trained,4,9,0.027523040771484375,1.181961178779602
10,trained,4,10,0.011927425861358643,0.30842095613479614
10,trained,4,11,0.0014427602291107178,-0.1486719697713852
10,trained,5,0,-0.03138872981071472,-0.02263045310974121
10,trained,5,1,0.026190996170043945,-1.6460559368133545
10,trained,5,2,0.008570313453674316,1.483783483505249
10,trained,5,3,0.0062302350997924805,1.1804908514022827
10,trained,5,4,-0.029799073934555054,-0.439156174659729
10,trained,5,5,0.006540745496749878,-0.1493319272994995
10,trained,5,6,0.02326381206512451,-0.0065635740756988525
10,trained,5,7,-0.0009287595748901367,-1.672428846359253
10,trained,5,8,-0.00804901123046875,1.5210869312286377
10,trained,5,9,0.026765823364257812,1.1852554082870483
10,trained,5,10,0.015133947134017944,0.3114428222179413
10,trained,5,11,0.0057118237018585205,-0.14479368925094604
10,trained,6,0,-0.022246435284614563,-0.01635873317718506
10,trained,6,1,0.02654409408569336,-1.6579663753509521
10,trained,6,2,0.014715909957885742,1.5029096603393555
10,trained,6,3,-0.01584339141845703,1.166152000427246
10,trained,6,4,-0.0611288845539093,-0.4801003038883209
10,trained,6,5,0.007226020097732544,-0.15017668902873993
10,trained,6,6,0.026396214962005615,-0.004588812589645386
10,trained,6,7,-0.04241442680358887,-1.7022017240524292
10,trained,6,8,-0.009069085121154785,1.5184537172317505
10,trained,6,9,0.03760957717895508,1.1923563480377197
10,trained,6,10,0.02860105037689209,0.31653425097465515
10,trained,6,11,-4.597008228302002e-05,-0.1463770568370819
10,trained,7,0,-0.051215946674346924,-0.04940849542617798
10,trained,7,1,0.021017074584960938,-1.6579636335372925
10,trained,7,2,0.007180213928222656,1.4748303890228271
10,trained,7,3,-0.0007990598678588867,1.1554741859436035
10,trained,7,4,-0.12047860026359558,-0.5204052329063416
10,trained,7,5,0.019144698977470398,-0.1430617868900299
10,trained,7,6,0.04738232493400574,0.031155407428741455
10,trained,7,7,-0.02374100685119629,-1.6663705110549927
10,trained,7,8,-0.02833724021911621,1.4883384704589844
10,trained,7,9,0.14273381233215332,1.171319842338562
10,trained,7,10,-0.007507979869842529,0.3278749883174896
10,trained,7,11,-0.0018316805362701416,-0.14534533023834229
10,trained,8,0,0.013565778732299805,0.011803746223449707
10,trained,8,1,0.025145888328552246,-1.649732232093811
10,trained,8,2,-0.02335190773010254,1.4682281017303467
10,trained,8,3,-0.05075633525848389,1.1224377155303955
10,trained,8,4,-0.0562114417552948,-0.46050897240638733
10,trained,8,5,0.005926951766014099,-0.15143389999866486
10,trained,8,6,0.06404939293861389,0.04329898953437805
10,trained,8,7,-0.012462019920349121,-1.6604790687561035
10,trained,8,8,-0.029971837997436523,1.4932703971862793
10,trained,8,9,-0.029702186584472656,1.1008503437042236
10,trained,8,10,0.0061546266078948975,0.3172105848789215
10,trained,8,11,0.005277454853057861,-0.14458300173282623
10,trained,9,0,0.018566042184829712,0.01092579960823059
10,trained,9,1,-0.013474702835083008,-1.682616949081421
10,trained,9,2,0.004701733589172363,1.4878696203231812
10,trained,9,3,-0.029963254928588867,1.142868161201477
10,trained,9,4,-0.03177925944328308,-0.4429551959037781
10,trained,9,5,-0.001768648624420166,-0.15397773683071136
10,trained,9,6,0.005910634994506836,0.025265783071517944
10,trained,9,7,-0.0359421968460083,-1.6774550676345825
10,trained,9,8,0.009255647659301758,1.5116233825683594
10,trained,9,9,0.006226301193237305,1.1316273212432861
10,trained,9,10,-0.030937880277633667,0.3193475902080536
10,trained,9,11,0.0008030533790588379,-0.15009547770023346
