phase,step,conditions_passed,conditions_total,success,condition_1_margin_cm,condition_2_margin_cm,condition_3_margin_cm,condition_4_margin_cm,condition_5_margin_cm
policy,26,2,5,False,-17.529834727233975,-36.685334713589384,-19.06322977511026,10.074535875043685,4.504235338430917
policy,27,2,5,False,-17.53449760540018,-36.69073648615563,-19.07101370312108,10.087767877667249,4.5046263069612085
policy,28,2,5,False,-17.534271892931887,-36.720325505340554,-19.073814975764538,10.098291519833646,4.503044777617577
policy,29,2,5,False,-17.538750884698405,-36.74527465727466,-19.071158214076863,10.106542843411711,4.502882186490281
policy,30,2,5,False,-17.541753276106263,-36.78526087087157,-19.078424459350437,10.118560593885677,4.504541569609614
policy,31,2,5,False,-17.542205494049558,-36.82041237496037,-19.085410695002754,10.127664804324771,4.505321136599852
policy,32,2,5,False,-17.545581174968714,-36.8514723188712,-19.1025834580178,10.141215580512787,4.506990375817699
policy,33,2,5,False,-17.551444751099112,-36.873410247155206,-19.11853458577645,10.154854682776046,4.519144780029814
policy,34,2,5,False,-17.556961222734774,-36.879586551070574,-19.126792056749125,10.16780880784273,4.541606131975065
policy,35,2,5,False,-17.555922486333678,-36.89045580118784,-19.142651722537686,10.179838304691744,4.5608569948535305
policy,36,2,5,False,-17.556390725738613,-36.89878465128781,-19.167995385336315,10.193340757031597,4.55730374893877
policy,37,2,5,False,-17.555630132027375,-36.90472811643657,-19.184251498084905,10.204652772604385,4.557660670158787
policy,38,2,5,False,-17.56451929971325,-36.9073227948833,-19.195877563009955,10.219369311000408,4.5599445782867125
policy,39,2,5,False,-17.561150422436064,-36.91606157054217,-19.209826055847646,10.229198090104939,4.565526654359015
policy,40,2,5,False,-17.574130761600422,-36.92488138166459,-19.220397475167097,10.239118480625637,4.5709991619190635
policy,41,2,5,False,-17.577311053292554,-36.93273743444243,-19.233992334413852,10.250475867131486,4.575308779648406
policy,42,2,5,False,-17.580720077429635,-36.94028450078035,-19.249123417242238,10.261753002012517,4.581765653913502
policy,43,2,5,False,-17.584923095083926,-36.94440024516052,-19.262294614216767,10.275724984562823,4.587782304993569
policy,44,2,5,False,-17.588956282715458,-36.952141847098076,-19.26852921806641,10.290248432344798,4.591265577687967
policy,45,2,5,False,-17.594707158434183,-36.95530664645541,-19.28187779997613,10.304454311844323,4.595246931150879
policy,46,2,5,False,-17.595882624954285,-36.96069368064373,-19.28967472971851,10.315178783964823,4.597190893057123
policy,47,2,5,False,-17.597100755007688,-36.965860868496776,-19.3064566113206,10.32922310493658,4.604650507682155
policy,48,2,5,False,-17.59692704695766,-36.97717092501317,-19.326527082550506,10.342758838298417,4.610065079104501
policy,49,2,5,False,-17.596796783554066,-36.98272606429201,-19.340761886172324,10.359326956449697,4.618245086286583
policy,50,2,5,False,-17.598483460197368,-36.99174877358922,-19.349862109243197,10.372260525135557,4.625553918259026
policy,51,2,5,False,-17.601791908301344,-36.99750958670468,-19.358640972855884,10.386897977064072,4.633847716914589
policy,52,2,5,False,-17.60499287659629,-37.00398871207807,-19.365320606836026,10.399199127150245,4.637882114782375
policy,53,2,5,False,-17.605611347278032,-37.00954517101074,-19.376307598167763,10.40959107235834,4.642676508286986
policy,54,2,5,False,-17.60432628824364,-37.017405616661435,-19.385865392384254,10.423210990638141,4.647236963574114
policy,55,2,5,False,-17.604285354830996,-37.02344323370163,-19.395220347264104,10.437443363293108,4.64719107175511
policy,56,2,5,False,-17.610188894294726,-37.03044639420523,-19.40241215615317,10.45059480170026,4.644692773676763
policy,57,2,5,False,-17.616544829910893,-37.03882580422382,-19.403945403878133,10.46021188965644,4.641171802769177
