phase,step,conditions_passed,conditions_total,success,condition_1_margin_cm,condition_2_margin_cm,condition_3_margin_cm,condition_4_margin_cm,condition_5_margin_cm
policy,30,2,5,False,-4.358022149334396,-5.725083945783531,-5.53489695788301,12.950654165415687,9.154459076517423
policy,31,2,5,False,-4.3624956335513865,-5.725032679425432,-5.537098152800475,12.951736261233815,9.1546704756264
policy,32,2,5,False,-4.360447515970176,-5.730531157119593,-5.5395658753259305,12.952644805451426,9.155685554784363
policy,33,2,5,False,-4.360859361051453,-5.731767687810237,-5.542985890111815,12.953296437417675,9.15748478453109
policy,34,2,5,False,-4.362401661705457,-5.727726134618248,-5.545776157199498,12.957135515891638,9.15825362493127
policy,35,2,5,False,-4.366460869722667,-5.731505127241956,-5.549331059444153,12.956304678266395,9.158218772079238
policy,36,2,5,False,-4.370351998486315,-5.730905163376416,-5.551863071785462,12.95456477825512,9.158764232086355
policy,37,2,5,False,-4.372121095273119,-5.729257883758471,-5.555418464158521,12.94945564870183,9.158567405168931
policy,38,2,5,False,-4.374408724731818,-5.7270870069769835,-5.5569874910546595,12.943980620527041,9.159984035858542
policy,39,2,5,False,-4.376620296586475,-5.726164302542493,-5.560840429421283,12.940440068380635,9.16057419215645
policy,40,2,5,False,-4.381400832115242,-5.7259195397388325,-5.566208066367633,12.940495037351091,9.161892091727296
policy,41,2,5,False,-4.386407132221768,-5.726309575575343,-5.567743781101697,12.94166250862365,9.161573489390754
policy,42,2,5,False,-4.390282470091208,-5.72508906230599,-5.573921413012638,12.945974258054099,9.161693413908726
policy,43,2,5,False,-4.394665489696527,-5.7227379591394545,-5.575270116511639,12.949402925163872,9.162298099690581
policy,44,2,5,False,-4.394157274175026,-5.719542507899391,-5.58133051930886,12.949639567539238,9.163284914848202
policy,45,2,5,False,-4.391469354033589,-5.719161791578706,-5.581165202967615,12.953783820190399,9.16346756176521
policy,46,2,5,False,-4.389332289977656,-5.720513953556797,-5.585568512261855,12.955566729623543,9.163392756368165
policy,47,2,5,False,-4.392775046465687,-5.715292161941413,-5.585983764639426,12.957734227382765,9.16281737411288
policy,48,2,5,False,-4.392904715640798,-5.714994511910806,-5.589895493000679,12.957432557659788,9.162463063292009
policy,49,2,5,False,-4.397634043567306,-5.713806483819802,-5.591983031960364,12.952768827501403,9.163267152990588
policy,50,2,5,False,-4.399202703166214,-5.712642489967536,-5.595927207852505,12.946011925169081,9.163311496309245
policy,51,2,5,False,-4.401331793376418,-5.711629188490392,-5.600459401565885,12.937753550765821,9.163891582947677
policy,52,2,5,False,-4.401684707208302,-5.709764639529713,-5.6026099775487594,12.93007982935692,9.164511234507557
policy,53,2,5,False,-4.401122026337035,-5.709463883367228,-5.605449367811335,12.926035780499372,9.16517537772176
policy,54,2,5,False,-4.402734877020629,-5.7079721465813655,-5.607896643666194,12.92160848342693,9.166176982198543
policy,55,2,5,False,-4.408524668707409,-5.705055661822488,-5.609201968589378,12.915193093627776,9.169612618268356
policy,56,2,5,False,-4.4136567191621054,-5.7063644089330126,-5.613162576757098,12.909352291582204,9.168915074090329
policy,57,2,5,False,-4.413185176583394,-5.707222878021941,-5.6174365253144884,12.906768506784212,9.167904045919695
