phase,step,conditions_passed,conditions_total,success,condition_1_margin_cm,condition_2_margin_cm,condition_3_margin_cm,condition_4_margin_cm
policy,21,2,4,False,-7.05208340726997,-6.026561587941245,6.022694895651632,5.3632114686232235
policy,22,2,4,False,-7.053357219490117,-6.03223195093957,6.026451973733021,5.364050665832131
policy,23,2,4,False,-7.055403735400553,-6.025725457013133,6.029725938136302,5.3690608634275065
policy,24,2,4,False,-7.057333941801032,-6.032629376020482,6.03096988257143,5.369161643878492
policy,25,2,4,False,-7.061395694900524,-6.02646162827201,6.036083647712726,5.372962293806886
policy,26,2,4,False,-7.061563139198354,-6.032235374926737,6.038582683710477,5.369598137322832
policy,27,2,4,False,-7.064593288960799,-6.025276010347621,6.038160723599276,5.3741522062189055
policy,28,2,4,False,-7.066229523346516,-6.034071219695317,6.0407400018153865,5.371626438975639
policy,29,2,4,False,-7.069585509359012,-6.027583441950313,6.042404897450847,5.378911267308926
policy,30,2,4,False,-7.069466218651145,-6.029201388710614,6.044279901243723,5.37708249446305
policy,31,2,4,False,-7.073165506701816,-6.0266461496544625,6.043648918261031,5.379332200722228
policy,32,2,4,False,-7.073808815380392,-6.027900349919669,6.046999849557075,5.375844423569134
policy,33,2,4,False,-7.0776359571838405,-6.022089213001708,6.048163213465067,5.3785076651975
policy,34,2,4,False,-7.078387290703526,-6.027697977638255,6.048671258792325,5.376834099608065
policy,35,2,4,False,-7.081996341320785,-6.020145387927164,6.049825755715904,5.380369822179766
policy,36,2,4,False,-7.079607182870708,-6.025609122027081,6.054790436447497,5.377696110809897
policy,37,2,4,False,-7.083273148469473,-6.018799557768313,6.054403383575806,5.381426832162976
policy,38,2,4,False,-7.084053341555315,-6.025175149196187,6.056206393558185,5.379397180348388
policy,39,2,4,False,-7.087159789686483,-6.018568551696561,6.056515787593849,5.382324860015462
policy,40,2,4,False,-7.087560326823981,-6.023194534094927,6.059460291613373,5.378024237550086
policy,41,2,4,False,-7.091508302387952,-6.016751524755895,6.05827996029366,5.381649415052291
policy,42,2,4,False,-7.093322559214398,-6.02253257623962,6.06047658889624,5.378323103869473
policy,43,2,4,False,-7.095415600065856,-6.015085309716383,6.059501007466437,5.382069529746975
policy,44,2,4,False,-7.0974649894364745,-6.021738067032475,6.06245884735803,5.377858499038528
policy,45,2,4,False,-7.099980399909832,-6.0166554256886045,6.060911754604835,5.381093062942178
policy,46,2,4,False,-7.102330457105639,-6.022300098799645,6.064981698967134,5.379427620941534
policy,47,2,4,False,-7.103830363618414,-6.017215034218843,6.06636967281478,5.383759360863657
policy,48,2,4,False,-7.106976874460861,-6.020122917962821,6.066948890728348,5.381841257859527
policy,49,2,4,False,-7.109835135388881,-6.016465843387461,6.0653579101617545,5.38454117460288
policy,50,2,4,False,-7.112351891026501,-6.019078786248789,6.0689784926985055,5.383422577888343
policy,51,2,4,False,-7.1149148882157345,-6.015973644146364,6.067392251960726,5.3858265797825275
policy,52,2,4,False,-7.118212321897325,-6.018782228891407,6.071680905666081,5.387233946928518
policy,53,2,4,False,-7.117561604354762,-6.015965896514555,6.071593019841053,5.390571703176924
policy,54,2,4,False,-7.122700800773712,-6.0151178052729115,6.073890296947734,5.388157683333276
policy,55,2,4,False,-7.123409390121003,-6.016134274429259,6.0722810859753835,5.391890209938431
policy,56,2,4,False,-7.126238555788742,-6.014940815191457,6.076236503218993,5.390675147596312
policy,57,2,4,False,-7.129076998045612,-6.01321297548632,6.074585677836385,5.395163996127511
policy,58,2,4,False,-7.1317112796859785,-6.009076865754491,6.077564117718417,5.392695386583217
policy,59,2,4,False,-7.13149191148073,-6.00792986878006,6.076669011899384,5.39776006547444
policy,60,2,4,False,-7.134787816453844,-6.005500265646308,6.078371586921573,5.395480879411842
policy,61,2,4,False,-7.136315294756216,-5.998069403709533,6.077018205513276,5.397749028200614
policy,62,2,4,False,-7.1407434073230664,-5.995629236932253,6.069362914415663,5.397002483417943
policy,63,2,4,False,-7.141407504969674,-5.998039764552283,6.00827792936181,5.400219563972346
policy,64,2,4,False,-7.144347012817818,-6.022885254886935,5.903168023161822,5.398218302781547
policy,65,2,4,False,-7.145019631116062,-6.125695034391137,5.779740278599721,5.402530559993952
policy,66,2,4,False,-7.146574094879979,-6.268579940568541,5.573467858487856,5.399391005648653
policy,67,2,4,False,-7.150589233726162,-6.401587635418553,5.366841449759807,5.40179710912712
policy,68,2,4,False,-7.152561249998877,-6.503220718005712,5.115299433214403,5.402618643003148
policy,69,2,4,False,-7.153671581514043,-6.512152623923315,4.84744031663632,5.4033479946211145
