checkpoint,boundary_action,action_index,joint,delta_from_cached_h50_rad,abs_delta_rad
step_000050,10,6,1,0.010951876640319824,0.010951876640319824
step_000050,10,6,2,-0.0001455545425415039,0.0001455545425415039
step_000050,10,6,3,0.015344977378845215,0.015344977378845215
step_000050,10,6,4,-0.08002087473869324,0.08002087473869324
step_000050,10,6,5,0.019460678100585938,0.019460678100585938
step_000050,10,6,6,0.027240455150604248,0.027240455150604248
step_000050,10,6,7,0.08698797225952148,0.08698797225952148
step_000050,10,6,8,-0.2031717300415039,0.2031717300415039
step_000050,10,6,9,0.12252366542816162,0.12252366542816162
step_000050,10,6,10,0.05243492126464844,0.05243492126464844
step_000050,10,6,11,0.00798480212688446,0.00798480212688446
step_000050,10,7,0,-0.0153016597032547,0.0153016597032547
step_000050,10,7,1,0.0025173425674438477,0.0025173425674438477
step_000050,10,7,2,0.02057623863220215,0.02057623863220215
step_000050,10,7,3,-0.0075016021728515625,0.0075016021728515625
step_000050,10,7,4,-0.11909639835357666,0.11909639835357666
step_000050,10,7,5,0.02305881679058075,0.02305881679058075
step_000050,10,7,6,0.02292492985725403,0.02292492985725403
step_000050,10,7,7,0.0025000572204589844,0.0025000572204589844
step_000050,10,7,8,-0.22292065620422363,0.22292065620422363
step_000050,10,7,9,0.1560065746307373,0.1560065746307373
step_000050,10,7,10,0.07529637217521667,0.07529637217521667
step_000050,10,7,11,0.010274067521095276,0.010274067521095276
step_000050,10,8,0,-0.1172868013381958,0.1172868013381958
step_000050,10,8,1,0.23514044284820557,0.23514044284820557
step_000050,10,8,2,-0.1230020523071289,0.1230020523071289
step_000050,10,8,3,-0.01663827896118164,0.01663827896118164
step_000050,10,8,4,-0.40182825922966003,0.40182825922966003
step_000050,10,8,5,0.37835320830345154,0.37835320830345154
step_000050,10,8,6,0.08638405799865723,0.08638405799865723
step_000050,10,8,7,0.16744458675384521,0.16744458675384521
step_000050,10,8,8,-0.3196530342102051,0.3196530342102051
step_000050,10,8,9,0.25538694858551025,0.25538694858551025
step_000050,10,8,10,0.11324313282966614,0.11324313282966614
step_000050,10,8,11,0.02824196219444275,0.02824196219444275
step_000050,10,9,0,0.02641846239566803,0.02641846239566803
step_000050,10,9,1,0.3601346015930176,0.3601346015930176
step_000050,10,9,2,-0.20269465446472168,0.20269465446472168
step_000050,10,9,3,-0.011794686317443848,0.011794686317443848
step_000050,10,9,4,-0.3749867081642151,0.3749867081642151
step_000050,10,9,5,0.485356867313385,0.485356867313385
step_000050,10,9,6,0.04691401124000549,0.04691401124000549
step_000050,10,9,7,0.3027838468551636,0.3027838468551636
step_000050,10,9,8,-0.34848856925964355,0.34848856925964355
step_000050,10,9,9,0.1056830883026123,0.1056830883026123
step_000050,10,9,10,0.142098069190979,0.142098069190979
step_000050,10,9,11,0.09540954604744911,0.09540954604744911
step_000050,10,10,0,0.07386057078838348,0.07386057078838348
step_000050,10,10,1,0.19154644012451172,0.19154644012451172
step_000050,10,10,2,-0.17016196250915527,0.17016196250915527
step_000050,10,10,3,0.010111451148986816,0.010111451148986816
step_000050,10,10,4,-0.270096093416214,0.270096093416214
step_000050,10,10,5,0.28157103061676025,0.28157103061676025
step_000050,10,10,6,-0.024188727140426636,0.024188727140426636
step_000050,10,10,7,0.25249361991882324,0.25249361991882324
step_000050,10,10,8,-0.3363931179046631,0.3363931179046631
step_000050,10,10,9,0.12664055824279785,0.12664055824279785
step_000050,10,10,10,0.07801508903503418,0.07801508903503418
step_000050,10,10,11,-0.00035628676414489746,0.00035628676414489746
step_000075,5,1,0,0.11121346056461334,0.11121346056461334
step_000075,5,1,1,-0.05426609516143799,0.05426609516143799
step_000075,5,1,2,-0.015621781349182129,0.015621781349182129
step_000075,5,1,3,-0.018063664436340332,0.018063664436340332
step_000075,5,1,4,-0.05742001533508301,0.05742001533508301
step_000075,5,1,5,-0.0037253648042678833,0.0037253648042678833
step_000075,5,1,6,0.06763976812362671,0.06763976812362671
step_000075,5,1,7,-0.07420027256011963,0.07420027256011963
step_000075,5,1,8,-0.1361246109008789,0.1361246109008789
step_000075,5,1,9,-0.02520298957824707,0.02520298957824707
step_000075,5,1,10,-0.05114775896072388,0.05114775896072388
step_000075,5,1,11,0.010206520557403564,0.010206520557403564
step_000075,5,2,0,0.06246495246887207,0.06246495246887207
step_000075,5,2,1,-0.039227843284606934,0.039227843284606934
step_000075,5,2,2,0.020444154739379883,0.020444154739379883
step_000075,5,2,3,-0.008152604103088379,0.008152604103088379
step_000075,5,2,4,0.009549230337142944,0.009549230337142944
step_000075,5,2,5,-0.0023001879453659058,0.0023001879453659058
step_000075,5,2,6,0.020218119025230408,0.020218119025230408
step_000075,5,2,7,-0.01355886459350586,0.01355886459350586
step_000075,5,2,8,-0.06406593322753906,0.06406593322753906
step_000075,5,2,9,-0.04230606555938721,0.04230606555938721
step_000075,5,2,10,-0.025754272937774658,0.025754272937774658
step_000075,5,2,11,0.001654103398323059,0.001654103398323059
step_000075,5,3,0,0.10310322046279907,0.10310322046279907
step_000075,5,3,1,-0.08127880096435547,0.08127880096435547
step_000075,5,3,2,0.011035442352294922,0.011035442352294922
step_000075,5,3,3,0.012653112411499023,0.012653112411499023
step_000075,5,3,4,0.014581650495529175,0.014581650495529175
step_000075,5,3,5,-0.0027207881212234497,0.0027207881212234497
step_000075,5,3,6,-0.04535675048828125,0.04535675048828125
step_000075,5,3,7,-0.16742396354675293,0.16742396354675293
step_000075,5,3,8,-0.021685361862182617,0.021685361862182617
step_000075,5,3,9,0.03639650344848633,0.03639650344848633
step_000075,5,3,10,-0.020598381757736206,0.020598381757736206
step_000075,5,3,11,-0.0028573274612426758,0.0028573274612426758
step_000075,5,4,0,0.06914100050926208,0.06914100050926208
step_000075,5,4,1,-0.07945680618286133,0.07945680618286133
step_000075,5,4,2,0.043305158615112305,0.043305158615112305
step_000075,5,4,3,-0.008942842483520508,0.008942842483520508
step_000075,5,4,4,-0.0020411312580108643,0.0020411312580108643
step_000075,5,4,5,-0.0005800575017929077,0.0005800575017929077
step_000075,5,4,6,-0.03275427222251892,0.03275427222251892
step_000075,5,4,7,-0.13818025588989258,0.13818025588989258
step_000075,5,4,8,-0.026344656944274902,0.026344656944274902
step_000075,5,4,9,0.05830240249633789,0.05830240249633789
step_000075,5,4,10,-0.0007995069026947021,0.0007995069026947021
step_000075,5,4,11,0.004078119993209839,0.004078119993209839
step_000075,5,5,0,0.0561223030090332,0.0561223030090332
step_000075,5,5,1,-0.056414008140563965,0.056414008140563965
step_000075,5,5,2,0.030699491500854492,0.030699491500854492
step_000075,5,5,3,0.0056018829345703125,0.0056018829345703125
step_000075,5,5,4,-0.01600709557533264,0.01600709557533264
step_000075,5,5,5,-0.001487642526626587,0.001487642526626587
step_000075,5,5,6,-0.011403799057006836,0.011403799057006836
step_000075,5,5,7,-0.10526025295257568,0.10526025295257568
step_000075,5,5,8,-0.008490800857543945,0.008490800857543945
step_000075,5,5,9,0.051448702812194824,0.051448702812194824
step_000075,5,5,10,0.01521444320678711,0.01521444320678711
step_000075,5,5,11,-0.004317238926887512,0.004317238926887512
step_000075,5,6,0,0.06593529880046844,0.06593529880046844
step_000075,5,6,1,-0.054257869720458984,0.054257869720458984
step_000075,5,6,2,0.05440545082092285,0.05440545082092285
step_000075,5,6,3,-0.007634162902832031,0.007634162902832031
step_000075,5,6,4,0.030770093202590942,0.030770093202590942
step_000075,5,6,5,-0.0033690929412841797,0.0033690929412841797
step_000075,5,6,6,-0.0060076117515563965,0.0060076117515563965
step_000075,5,6,7,-0.05345571041107178,0.05345571041107178
step_000075,5,6,8,-0.0417788028717041,0.0417788028717041
step_000075,5,6,9,0.06319653987884521,0.06319653987884521
step_000075,5,6,10,0.019709289073944092,0.019709289073944092
step_000075,5,6,11,0.00070953369140625,0.00070953369140625
step_000075,5,7,0,0.06309358775615692,0.06309358775615692
step_000075,5,7,1,-0.07046890258789062,0.07046890258789062
step_000075,5,7,2,0.055603623390197754,0.055603623390197754
step_000075,5,7,3,-0.012624621391296387,0.012624621391296387
step_000075,5,7,4,-0.0269719660282135,0.0269719660282135
step_000075,5,7,5,0.0017070919275283813,0.0017070919275283813
step_000075,5,7,6,0.0065116286277771,0.0065116286277771
step_000075,5,7,7,-0.10743606090545654,0.10743606090545654
step_000075,5,7,8,-0.07124710083007812,0.07124710083007812
step_000075,5,7,9,0.09299647808074951,0.09299647808074951
step_000075,5,7,10,0.04666602611541748,0.04666602611541748
step_000075,5,7,11,0.009518906474113464,0.009518906474113464
step_000075,5,8,0,0.009226575493812561,0.009226575493812561
step_000075,5,8,1,-0.01924121379852295,0.01924121379852295
step_000075,5,8,2,-0.01530468463897705,0.01530468463897705
step_000075,5,8,3,-0.03018808364868164,0.03018808364868164
step_000075,5,8,4,-0.16448500752449036,0.16448500752449036
step_000075,5,8,5,0.004362180829048157,0.004362180829048157
step_000075,5,8,6,0.11768829822540283,0.11768829822540283
step_000075,5,8,7,0.06524062156677246,0.06524062156677246
step_000075,5,8,8,-0.25841236114501953,0.25841236114501953
step_000075,5,8,9,0.10847198963165283,0.10847198963165283
step_000075,5,8,10,0.15687131881713867,0.15687131881713867
