boundary_action,probe,local_action,global_action,action_l2_rad,per_joint_rms_rad
5,old-both-wrists,3,8,0.11420557721356447,"[0.04659325226072635, 0.07307896964049755, 0.07495337017156785, 0.013540271921091931, 0.1506630391964128, 0.009192047571018326, 0.04171231044504424, 0.0881481108064823, 0.09953095673907304, 0.04212872357258907, 0.05895868419712692, 0.005866857029043641]"
5,old-both-wrists,4,9,0.10353288730927,"[0.04659325226072635, 0.07307896964049755, 0.07495337017156785, 0.013540271921091931, 0.1506630391964128, 0.009192047571018326, 0.04171231044504424, 0.0881481108064823, 0.09953095673907304, 0.04212872357258907, 0.05895868419712692, 0.005866857029043641]"
5,old-both-wrists,5,10,0.1096292903964435,"[0.04659325226072635, 0.07307896964049755, 0.07495337017156785, 0.013540271921091931, 0.1506630391964128, 0.009192047571018326, 0.04171231044504424, 0.0881481108064823, 0.09953095673907304, 0.04212872357258907, 0.05895868419712692, 0.005866857029043641]"
5,old-both-wrists,6,11,0.07238975782379223,"[0.04659325226072635, 0.07307896964049755, 0.07495337017156785, 0.013540271921091931, 0.1506630391964128, 0.009192047571018326, 0.04171231044504424, 0.0881481108064823, 0.09953095673907304, 0.04212872357258907, 0.05895868419712692, 0.005866857029043641]"
5,old-both-wrists,7,12,0.10304452135757755,"[0.04659325226072635, 0.07307896964049755, 0.07495337017156785, 0.013540271921091931, 0.1506630391964128, 0.009192047571018326, 0.04171231044504424, 0.0881481108064823, 0.09953095673907304, 0.04212872357258907, 0.05895868419712692, 0.005866857029043641]"
5,old-both-wrists,8,13,0.3921793873063156,"[0.04659325226072635, 0.07307896964049755, 0.07495337017156785, 0.013540271921091931, 0.1506630391964128, 0.009192047571018326, 0.04171231044504424, 0.0881481108064823, 0.09953095673907304, 0.04212872357258907, 0.05895868419712692, 0.005866857029043641]"
5,old-both-wrists,9,14,0.4533468463739524,"[0.04659325226072635, 0.07307896964049755, 0.07495337017156785, 0.013540271921091931, 0.1506630391964128, 0.009192047571018326, 0.04171231044504424, 0.0881481108064823, 0.09953095673907304, 0.04212872357258907, 0.05895868419712692, 0.005866857029043641]"
5,old-both-wrists,10,15,0.3299588360878255,"[0.04659325226072635, 0.07307896964049755, 0.07495337017156785, 0.013540271921091931, 0.1506630391964128, 0.009192047571018326, 0.04171231044504424, 0.0881481108064823, 0.09953095673907304, 0.04212872357258907, 0.05895868419712692, 0.005866857029043641]"
10,current-all,1,11,0.46205756807098697,"[0.07072139360456245, 0.7362962654845548, 0.3964369654020564, 0.09626327072579889, 0.2295245056043645, 0.4348734264115266, 0.09782130078413202, 0.1844887236644999, 0.20292572089264985, 0.06787527994323964, 0.0618302773128215, 0.008026449317030148]"
10,current-all,2,12,0.577159163977363,"[0.07072139360456245, 0.7362962654845548, 0.3964369654020564, 0.09626327072579889, 0.2295245056043645, 0.4348734264115266, 0.09782130078413202, 0.1844887236644999, 0.20292572089264985, 0.06787527994323964, 0.0618302773128215, 0.008026449317030148]"
10,current-all,3,13,0.72588732655391,"[0.07072139360456245, 0.7362962654845548, 0.3964369654020564, 0.09626327072579889, 0.2295245056043645, 0.4348734264115266, 0.09782130078413202, 0.1844887236644999, 0.20292572089264985, 0.06787527994323964, 0.0618302773128215, 0.008026449317030148]"
10,current-all,4,14,1.0214085851597363,"[0.07072139360456245, 0.7362962654845548, 0.3964369654020564, 0.09626327072579889, 0.2295245056043645, 0.4348734264115266, 0.09782130078413202, 0.1844887236644999, 0.20292572089264985, 0.06787527994323964, 0.0618302773128215, 0.008026449317030148]"
10,current-all,5,15,1.0815768523404259,"[0.07072139360456245, 0.7362962654845548, 0.3964369654020564, 0.09626327072579889, 0.2295245056043645, 0.4348734264115266, 0.09782130078413202, 0.1844887236644999, 0.20292572089264985, 0.06787527994323964, 0.0618302773128215, 0.008026449317030148]"
10,current-all,6,16,1.07502577070821,"[0.07072139360456245, 0.7362962654845548, 0.3964369654020564, 0.09626327072579889, 0.2295245056043645, 0.4348734264115266, 0.09782130078413202, 0.1844887236644999, 0.20292572089264985, 0.06787527994323964, 0.0618302773128215, 0.008026449317030148]"
10,current-all,7,17,1.0376949878488582,"[0.07072139360456245, 0.7362962654845548, 0.3964369654020564, 0.09626327072579889, 0.2295245056043645, 0.4348734264115266, 0.09782130078413202, 0.1844887236644999, 0.20292572089264985, 0.06787527994323964, 0.0618302773128215, 0.008026449317030148]"
10,current-all,8,18,1.2443076302529132,"[0.07072139360456245, 0.7362962654845548, 0.3964369654020564, 0.09626327072579889, 0.2295245056043645, 0.4348734264115266, 0.09782130078413202, 0.1844887236644999, 0.20292572089264985, 0.06787527994323964, 0.0618302773128215, 0.008026449317030148]"
10,current-all,9,19,1.3375879235718549,"[0.07072139360456245, 0.7362962654845548, 0.3964369654020564, 0.09626327072579889, 0.2295245056043645, 0.4348734264115266, 0.09782130078413202, 0.1844887236644999, 0.20292572089264985, 0.06787527994323964, 0.0618302773128215, 0.008026449317030148]"
10,current-all,10,20,1.2766492842117882,"[0.07072139360456245, 0.7362962654845548, 0.3964369654020564, 0.09626327072579889, 0.2295245056043645, 0.4348734264115266, 0.09782130078413202, 0.1844887236644999, 0.20292572089264985, 0.06787527994323964, 0.0618302773128215, 0.008026449317030148]"
10,old-all-images-current-state,1,11,0.19410678237865847,"[0.13695511968779747, 0.4155155774911308, 0.20234383996077465, 0.0540299880365561, 0.2726228081299075, 0.3944216496149819, 0.028028989881988205, 0.03653012156848358, 0.05058964852128093, 0.058167744447318676, 0.032761440596431796, 0.013228266407129296]"
10,old-all-images-current-state,2,12,0.19586444594152302,"[0.13695511968779747, 0.4155155774911308, 0.20234383996077465, 0.0540299880365561, 0.2726228081299075, 0.3944216496149819, 0.028028989881988205, 0.03653012156848358, 0.05058964852128093, 0.058167744447318676, 0.032761440596431796, 0.013228266407129296]"
10,old-all-images-current-state,3,13,0.3064540187475563,"[0.13695511968779747, 0.4155155774911308, 0.20234383996077465, 0.0540299880365561, 0.2726228081299075, 0.3944216496149819, 0.028028989881988205, 0.03653012156848358, 0.05058964852128093, 0.058167744447318676, 0.032761440596431796, 0.013228266407129296]"
10,old-all-images-current-state,4,14,0.8097528710898404,"[0.13695511968779747, 0.4155155774911308, 0.20234383996077465, 0.0540299880365561, 0.2726228081299075, 0.3944216496149819, 0.028028989881988205, 0.03653012156848358, 0.05058964852128093, 0.058167744447318676, 0.032761440596431796, 0.013228266407129296]"
10,old-all-images-current-state,5,15,0.6856551939339285,"[0.13695511968779747, 0.4155155774911308, 0.20234383996077465, 0.0540299880365561, 0.2726228081299075, 0.3944216496149819, 0.028028989881988205, 0.03653012156848358, 0.05058964852128093, 0.058167744447318676, 0.032761440596431796, 0.013228266407129296]"
10,old-all-images-current-state,6,16,0.4567413633117837,"[0.13695511968779747, 0.4155155774911308, 0.20234383996077465, 0.0540299880365561, 0.2726228081299075, 0.3944216496149819, 0.028028989881988205, 0.03653012156848358, 0.05058964852128093, 0.058167744447318676, 0.032761440596431796, 0.013228266407129296]"
10,old-all-images-current-state,7,17,0.42168711094545036,"[0.13695511968779747, 0.4155155774911308, 0.20234383996077465, 0.0540299880365561, 0.2726228081299075, 0.3944216496149819, 0.028028989881988205, 0.03653012156848358, 0.05058964852128093, 0.058167744447318676, 0.032761440596431796, 0.013228266407129296]"
