boundary_action,probe,joint_index,first10_per_joint_rms_rad
10,old-right-only,9,0.06701052476074097
10,old-right-only,10,0.05654340923454663
10,old-right-only,11,0.008079105929243765
10,old-both-wrists,0,0.1370616180942974
10,old-both-wrists,1,0.4052820878481043
10,old-both-wrists,2,0.19673705198653418
10,old-both-wrists,3,0.05311223549151586
10,old-both-wrists,4,0.2691687165938332
10,old-both-wrists,5,0.38887722493599475
10,old-both-wrists,6,0.02777245533604346
10,old-both-wrists,7,0.03633776284629615
10,old-both-wrists,8,0.050292817222402086
10,old-both-wrists,9,0.05813439032990007
10,old-both-wrists,10,0.032400513082725686
10,old-both-wrists,11,0.013028604542398771
